food,cal,calFromFat,totFat,totFatDV,totCarb,totCarbDV,satFat,satFatDV,dietaryFiber,dietaryFiberDV,transFat,transFatDV,sugars,sugarsDV,cholesterol,cholesterolDV,protein,proteinDV,sodium,sodiumDV,restrictions,price
AGUA FRESCA BERRY PATCH ,171,0,0,0,40.8,,0,0,0,0,0,,40.8,31,0,,0,,541.7,24,"Vegan, Vegan, ",$3.00
AGUA FRESCA LEMONADE ,158,0,0,0,36.8,,0,0,0,0,0,,36.8,28,0,,0,,541.7,24,"Vegan, Vegan, ",$2.50
AGUA FRESCA SWEET TEA ,158,0,0,0,40.8,,0,0,0,0,0,,39.5,30,0,,0,,541.7,24,"Vegan, Vegan, ",$3.00
Kale ,14,2,0.3,1,2.5,,0,0,0.6,2,0,,,,0,,1.2,,10.8,0,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Kale Caesar Salad ,581,423,46.9,124,22.3,,9.8,49,3.7,12,0,,3.2,2,32.3,,21.9,,1083.4,47,"Contains Dairy, Contains Soy, Contains Wheat, Contains Fish, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, Contains Fish, ",$7.00
Labanese Fattoush Salad ,596,459,50.9,134,29.9,,7.7,39,4.7,16,0,,9.7,7,15.2,,10.6,,1585.9,69,"Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, ",$7.00
Power House Salad ,233,98,10.8,29,31.1,,0.3,1,5.3,18,0,,9.9,8,0,,6.1,,545.1,24,"Vegetarian, Wellness, Contains Soy, Vegetarian, Wellness, Contains Soy, ",$7.00
Romaine Lettuce ,5,0,0,0,1,,0,0,0.3,1,0,,0.7,1,0,,0.3,,1.7,0,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Spinach ,7,1,0.1,0,1,,0,0,0.6,2,0,,0.1,0,0,,0.8,,22.4,1,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Spring Mix ,7,0,0,0,1,,0,0,0.3,1,0,,0,0,0,,0,,16.7,1,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Strawberry Fields Salad ,286,186,20.6,54,17.6,,5.2,26,7.7,26,0,,6.5,5,15.2,,13.6,,206.9,9,"Vegetarian, Wellness, Contains Dairy, Contains TreeNuts, Contains Soy, Contains Wheat, Contains Gluten, Vegetarian, Wellness, Contains Dairy, Contains TreeNuts, Contains Soy, Contains Wheat, ",$7.00
Cage Free Hard Boiled Egg ,58,37,4.1,11,1,,1,5,0,0,0,,0,0,184.2,,6.1,,53.2,2,"Vegetarian, Wellness, Contains Eggs, Sustainability, Vegetarian, Wellness, Contains Eggs, Sustainability, ",$1.00
Marinated Chicken Breast ,45,10,1.1,3,0,,0.3,1,0,0,0,,0,0,26,,8.3,,149.6,7,"Wellness, Wellness, ",$3.50
Marinated Shrimp ,48,16,1.8,5,0.7,,0.1,0,0.5,2,0,,0.1,0,55.7,,7.1,,86.6,4,"Sustainability, Sustainability, ",$3.50
Salmon ,66,38,4.3,11,0.1,,0.8,4,0,0,0,,0,0,18.2,,6.4,,158.3,7,"Wellness, Contains Fish, Sustainability, Wellness, Contains Fish, Sustainability, ",$4.00
Tofu Cubes ,100,48,5.4,14,2.4,,1.1,5,1.7,6,0,,0.5,0,0,,10.5,,5.1,0,"Vegan, Wellness, Contains Soy, Sustainability, Vegan, Wellness, Contains Soy, Sustainability, ",$2.50
Bleu Cheese ,101,73,8.1,21,1,,5.1,25,0,0,,,0,0,25.3,,6.1,,384.8,17,"Vegetarian, Contains Dairy, Sustainability, Vegetarian, Contains Dairy, Sustainability, ",
Cherry Tomato ,6,1,0.1,0,1.2,,0,0,0.4,1,0,,0.8,1,0,,0.3,,1.6,0,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Cooked Red Quinoa ,33,5,0.5,1,6,,0.1,0,0.6,2,0,,0,0,0,,1.1,,43.9,2,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Feta Cheese ,75,54,6,16,1.2,,4.2,21,0,0,,,1.2,1,25.2,,4,,316.4,14,"Vegetarian, Contains Dairy, Sustainability, Vegetarian, Contains Dairy, Sustainability, ",
Garbanzo Beans ,34,3,0.3,1,6.4,,0,0,1.2,4,,,,,0,,1.4,,84.8,4,"Vegan, Sustainability, Vegan, Sustainability, ",
Homestyle Croutons ,132,47,5.2,14,18,,1.5,7,1.4,5,,,1.3,1,2,,3.1,,351,15,"Vegetarian, Contains Dairy, Contains Wheat, Contains Gluten, Sustainability, Vegetarian, Contains Dairy, Contains Wheat, Sustainability, ",
Mango Shrimp Ceviche ,221,61,6.8,18,32.8,,0.4,2,0.8,3,0,,4.5,3,43.9,,8.9,,393.5,17,"Contains Shellfish, Sustainability, Contains Shellfish, Sustainability, ",$6.00
Parmesan Cheese ,118,70,7.8,20,1,,4.9,25,0,0,,,0.3,0,20.4,,10.7,,480.8,21,"Vegetarian, Contains Dairy, Vegetarian, Contains Dairy, ",
Pumpkin Seeds- Pepitas ,81,63,7,18,2.1,,1.2,6,0.9,3,0,,0.2,0,0,,4.2,,36.3,2,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Red Onions ,10,0,0,0,2.4,,0,0,0.4,1,0,,1.1,1,0,,0.3,,1,0,"Vegan, Sustainability, Vegan, Sustainability, ",
Rice Trio ,49,1,0.1,0,11,,0,0,0.8,3,0,,0.1,0,0,,1.2,,0.8,0,"Vegan, Sustainability, Vegan, Sustainability, ",
Roasted Broccoli ,15,7,0.8,2,1.6,,0.1,0,0.9,3,0,,0,0,0,,0.9,,78.6,3,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Roasted Cauliflower ,14,9,1,3,1.2,,0.1,0,0.6,2,0,,0.5,0,0,,0.5,,75.6,3,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Scallop Ceviche ,442,116,12.8,34,71.4,,0.8,4,1.1,4,0,,8.7,7,10,,12.9,,606.8,26,"Contains Soy, Contains Shellfish, Sustainability, Contains Soy, Contains Shellfish, Sustainability, ",$6.00
Serrano Shrimp Aguachile ,452,146,16.2,43,61.9,,1.1,6,2.2,7,0,,2.8,2,87.8,,18,,1023.5,44,"Contains Soy, Contains Shellfish, Sustainability, Contains Soy, Contains Shellfish, Sustainability, ",$6.00
Shredded Carrots ,12,1,0.1,0,2.7,,0,0,0.8,3,0,,1.3,1,0,,0.3,,19.6,1,"Vegan, Sustainability, Vegan, Sustainability, ",
