food,cal,calFromFat,totFat,totFatDV,totCarb,totCarbDV,satFat,satFatDV,dietaryFiber,dietaryFiberDV,transFat,transFatDV,sugars,sugarsDV,cholesterol,cholesterolDV,protein,proteinDV,sodium,sodiumDV,allergens,price
Avocado Toast ,232,106,11.8,31,26.9,,2.3,11,6.2,21,0,,6.8,5,4,,6.5,,193.8,8,"Vegetarian, Wellness, Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegetarian, Wellness, Contains Dairy, Contains Soy, Contains Wheat, Sustainability, ",$5.00
Bacon ,186,133,14.7,39,0.5,,4.8,24,0,0,0,,0,0,36.4,,12.1,,745.6,32,,$1.75
Bacon Breakfast Burrito ,1005,481,53.3,140,85.9,,23.2,116,14.3,48,0.5,,8.1,6,296.2,,49.9,,2454.5,107,"Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, ",$7.50
Bacon Breakfast Sandwich ,529,310,34.4,90,24.7,,12.1,60,3.8,13,0.5,,5.7,4,273.3,,29.4,,1200.3,52,"Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, ",$5.00
Bacon Egg Bowl ,595,394,43.7,115,16.7,,19.6,98,0.8,3,0.5,,7.3,6,296.2,,33.8,,1439.3,63,"Contains Dairy, Contains Soy, Contains Eggs, Contains Dairy, Contains Soy, Contains Eggs, ",$6.50
Breakfast Burrito ,726,282,31.2,82,85.2,,15.9,80,14.3,48,0.5,,8.1,6,241.6,,31.7,,1336.1,58,"Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, Sustainability, Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, Sustainability, ",$6.00
Veggie Sausage Sandwich ,507,282,31.2,82,30.6,,9.1,46,5.6,19,0.5,,5.7,4,236.9,,29.1,,1021.1,44,"Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, Sustainability, Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, Sustainability, ",$5.00
Scrambled Eggs ,137,99,11,29,1.2,,2.6,13,0,0,0.5,,1.1,1,214.4,,7.7,,112.2,5,"Vegetarian, Contains Eggs, Sustainability, Vegetarian, Contains Eggs, Sustainability, ",$2.50
Tater Tots ,247,141,15.7,41,29.6,,10,50,1.8,6,0,,7.4,6,0,,1.8,,55.5,2,"Vegan, Contains Soy, Sustainability, Vegan, Contains Soy, Sustainability, ",$2.50
Turkey Sausage Patty (1) ,68,47,5.3,14,0,,1.5,8,0,0,0,,0,0,30,,5.3,,210,9,"Wellness, Wellness, ",$1.75
