food,cal,calFromFat,totFat,totFatDV,totCarb,totCarbDV,satFat,satFatDV,dietaryFiber,dietaryFiberDV,transFat,transFatDV,sugars,sugarsDV,cholesterol,cholesterolDV,protein,proteinDV,sodium,sodiumDV,restrictions,price
Caprese Salad ,299,128,14.2,37,12.2,,2.3,12,6.1,20,0,,5.1,4,15.1,,33.4,,997.9,43,"Vegetarian, Contains Dairy, Contains Soy, Vegetarian, Contains Dairy, Contains Soy, ",$8.00
Jalapeno Kale Caesar ,568,451,50,131,14.8,,11.1,56,5,17,0.7,,3.6,3,74.3,,20.5,,875.7,38,"Contains Dairy, Contains Soy, Contains Fish, Contains Eggs, Sustainability, Contains Dairy, Contains Soy, Contains Fish, Contains Eggs, Sustainability, ",$7.00
Panzanella Salad ,766,405,44.9,118,50.6,,13.9,69,9.5,32,0,,12.2,9,66.7,,33.3,,1636.9,71,"Vegetarian, Contains Dairy, Contains Wheat, Contains Gluten, Vegetarian, Contains Dairy, Contains Wheat, ",$6.75
Tuscan Bean Salad ,238,77,8.6,23,32.5,,0.7,3,8,27,0,,2.5,2,0,,10.1,,455.1,20,"Vegan, Sustainability, Vegan, Sustainability, ",$2.50
Spaghetti Marinara ,685,245,27.2,72,70.6,,12,60,5.6,19,0,,7.8,6,53.3,,38.1,,1969.4,86,"Vegetarian, Contains Dairy, Contains Wheat, Contains Gluten, Vegetarian, Contains Dairy, Contains Wheat, ",$6.00
Spaghetti Marinara ,685,245,27.2,72,70.6,,12,60,5.6,19,0,,7.8,6,53.3,,38.1,,1969.4,86,"Vegetarian, Contains Dairy, Contains Wheat, Contains Gluten, Vegetarian, Contains Dairy, Contains Wheat, ",$6.00
Cheesy Garlic Bread ,584,270,29.9,79,50.2,,9.4,47,5,17,0,,0.6,0,35.5,,23.3,,584.8,25,"Vegetarian, Contains Dairy, Contains Wheat, Contains Gluten, Sustainability, Vegetarian, Contains Dairy, Contains Wheat, Sustainability, ",$4.00
Buttermilk Ranch Dressing ,113,105,11.7,31,0.7,,1.7,9,0,0,0,,0.7,1,11.5,,0.6,,175.6,8,"Vegetarian, Contains Dairy, Contains Soy, Contains Eggs, Sustainability, Vegetarian, Contains Dairy, Contains Soy, Contains Eggs, Sustainability, ",
Cherry Tomato ,6,1,0.1,0,1.2,,0,0,0.4,1,0,,0.8,1,0,,0.3,,1.6,0,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Cooked Red Quinoa ,33,5,0.5,1,6,,0.1,0,0.6,2,0,,0,0,0,,1.1,,43.9,2,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Dried Cranberries ,92,0,0,0,23.4,,0,0,0,0,0,,18.4,14,0,,0,,0,0,"Vegetarian, Sustainability, Vegetarian, Sustainability, ",
Feta Cheese ,75,54,6,16,1.2,,4.2,21,0,0,,,1.2,1,25.2,,4,,316.4,14,"Vegetarian, Contains Dairy, Sustainability, Vegetarian, Contains Dairy, Sustainability, ",
Garbanzo Beans ,34,3,0.3,1,6.4,,0,0,1.2,4,,,,,0,,1.4,,84.8,4,"Vegan, Sustainability, Vegan, Sustainability, ",
Homestyle Croutons ,132,47,5.2,14,18,,1.5,7,1.4,5,,,1.3,1,2,,3.1,,351,15,"Vegetarian, Contains Dairy, Contains Wheat, Contains Gluten, Sustainability, Vegetarian, Contains Dairy, Contains Wheat, Sustainability, ",
Jalapeno Caesar Dressing ,157,155,17.1,45,0.8,,2.4,12,0,0,0.3,,0.4,0,26.9,,0.7,,163,7,"Contains Dairy, Contains Soy, Contains Fish, Contains Eggs, Contains Dairy, Contains Soy, Contains Fish, Contains Eggs, ",
Marinated Artichoke Hearts ,21,4,0.4,1,4.6,,0.1,0,3,10,0,,0.6,0,0,,0.9,,230.1,10,,
Parmesan Cheese ,118,70,7.8,20,1,,4.9,25,0,0,,,0.3,0,20.4,,10.7,,480.8,21,"Vegetarian, Contains Dairy, Vegetarian, Contains Dairy, ",
Pepperoncini ,10,0,0,0,2,,0,0,0,0,0,,0,0,0,,0,,334.1,15,"Vegan, Vegan, ",
Pumpkin Seeds- Pepitas ,81,63,7,18,2.1,,1.2,6,0.9,3,0,,0.2,0,0,,4.2,,36.3,2,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Red Onions ,10,0,0,0,2.4,,0,0,0.4,1,0,,1.1,1,0,,0.3,,1,0,"Vegan, Sustainability, Vegan, Sustainability, ",
