food,cal,calFromFat,totFat,totFatDV,totCarb,totCarbDV,satFat,satFatDV,dietaryFiber,dietaryFiberDV,transFat,transFatDV,sugars,sugarsDV,cholesterol,cholesterolDV,protein,proteinDV,sodium,sodiumDV,allergens,price
Seafood Chowder ,204,71,7.9,21,19.6,,3.6,18,1.3,4,0,,5.3,4,58.8,,13.7,,936.6,41,"Contains Dairy, Contains Wheat, Contains Fish, Contains Shellfish, Contains Gluten, Sustainability, Contains Dairy, Contains Wheat, Contains Fish, Contains Shellfish, Sustainability, ",$4.00
V1 ,519,417,46.2,122,25.4,,3.6,18,9.9,33,0,,8.7,7,0,,8.1,,461.9,20,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",$6.75
V2 ,349,196,21.7,57,29.6,,2.2,11,6.8,23,0,,9.7,7,0,,13.3,,503.2,22,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",$6.75
"Barley, Beet & Tomato Salad ",361,212,23.5,62,37.8,,1.9,10,7,23,0,,9.6,7,0,,4.4,,909.5,40,"Vegan, Wellness, Contains Gluten, Sustainability, Vegan, Wellness, Sustainability, ",$6.75
Green Goddess Salad ,491,389,43.1,113,25.5,,3.4,17,8.9,30,0,,15.7,12,0,,8.2,,175.3,8,"Vegan, Wellness, Contains TreeNuts, Sustainability, Vegan, Wellness, Contains TreeNuts, Sustainability, ",$7.00
HG Side Salad ,147,118,13.1,34,5.1,,1.8,9,1.3,4,0,,2.7,2,11.5,,1.2,,279.2,12,"Vegetarian, Contains Dairy, Contains Soy, Contains Eggs, Sustainability, Vegetarian, Contains Dairy, Contains Soy, Contains Eggs, Sustainability, ",$3.00
Popeye's Salad ,455,409,45.3,119,13.4,,3.6,18,6.9,23,0,,4.1,3,0,,6.9,,374,16,"Vegan, Wellness, Contains TreeNuts, Vegan, Wellness, Contains TreeNuts, ",$6.75
American Cheese ,52,40,4.4,12,0,,2.6,13,0,0,,,0,0,14.7,,2.9,,228.4,10,"Vegetarian, Contains Dairy, Contains Soy, Sustainability, Vegetarian, Contains Dairy, Contains Soy, Sustainability, ",$1.00
Avocado ,47,39,4.4,11,2.4,,0.6,3,1.9,6,0,,0.1,0,0,,0.6,,2.3,0,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",$1.50
Bacon (1) ,134,95,10.6,28,0.3,,3.5,17,0,0,0,,0,0,26.1,,8.7,,535.6,23,,$1.75
Cheddar Cheese ,90,68,7.5,20,0,,4.5,23,0,0,0,,0,0,22.5,,4.5,,135,6,"Vegetarian, Contains Dairy, Sustainability, Vegetarian, Contains Dairy, Sustainability, ",$1.00
Fried Egg ,70,47,5.2,14,0.5,,1.4,7,0,0,0,,0.5,0,194.1,,6,,135.2,6,"Vegetarian, Wellness, Contains Eggs, Sustainability, Vegetarian, Wellness, Contains Eggs, Sustainability, ",$1.25
Pepper Jack Cheese ,84,62,6.8,18,0.8,,3.8,19,0,0,,,0,0,22.8,,4.6,,129.2,6,"Vegetarian, Contains Dairy, Contains Soy, Sustainability, Vegetarian, Contains Dairy, Contains Soy, Sustainability, ",$1.00
Fish and Chips ,620,475,52.7,139,43.1,,5.5,27,0.5,2,0.1,,1.9,1,43.1,,17,,1265.6,55,"Contains Soy, Contains Wheat, Contains Fish, Contains Gluten, Sustainability, Contains Soy, Contains Wheat, Contains Fish, Sustainability, ",$7.00
Grilled Fish Sandwich ,306,185,20.5,54,5.6,,1.4,7,1.7,6,0,,3.1,2,91.9,,24.5,,405,18,"Contains Dairy, Contains Soy, Contains Wheat, Contains Fish, Contains Gluten, Sustainability, Contains Dairy, Contains Soy, Contains Wheat, Contains Fish, Sustainability, ",$8.75
Mediterranean Burger ,518,160,17.7,47,52.6,,8,40,1.3,4,0,,11.1,9,136.7,,38.5,,955.6,42,"Contains Dairy, Contains Wheat, Contains Eggs, Contains Gluten, Contains Dairy, Contains Wheat, Contains Eggs, ",$9.00
Spicy Korean Chicken Sandwich ,554,161,17.8,47,78.4,,4.9,24,1,3,0,,32.9,25,239.1,,20.2,,1199.6,52,"Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, ",$8.00
Three Cheese Grilled Cheese ,761,415,46,121,40.1,,17.3,87,0.1,0,0,,5,4,85.8,,25.7,,1437,62,"Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, ",$6.00
Crispy Chicken Sandwich ,718,497,55.1,145,46.9,,14.5,73,0.6,2,0.1,,8.5,7,77.2,,9,,859.5,37,"Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, ",$7.50
Housemade Chamoy ,71,1,0.1,0,16.9,,0,0,1.2,4,0,,13.9,11,0,,0.5,,392.7,17,"Vegan, Sustainability, Vegan, Sustainability, ",$1.00
Roasted Cashews ,163,119,13.1,35,9.3,,2.6,13,0.9,3,0,,1.4,1,0,,4.3,,4.5,0,"Vegan, Contains TreeNuts, Vegan, Contains TreeNuts, ",$1.00
Toasted Coconut ,129,72,7.9,21,14.7,,7.5,37,2.8,9,0,,10.4,8,0,,0.9,,80.8,4,"Vegetarian, Contains TreeNuts, Sustainability, Vegetarian, Contains TreeNuts, Sustainability, ",
Vegan Green Goddess Dressing ,110,110,12.2,32,1.2,,0.9,5,0.5,2,0,,0.3,0,0,,0.3,,16.3,1,"Vegan, Sustainability, Vegan, Sustainability, ",$1.00
