food,cal,calFromFat,totFat,totFatDV,totCarb,totCarbDV,satFat,satFatDV,dietaryFiber,dietaryFiberDV,transFat,transFatDV,sugars,sugarsDV,cholesterol,cholesterolDV,protein,proteinDV,sodium,sodiumDV,restrictions,price
Breakfast Soyrizo Burrito ,698,358,39.7,104,67,,3.7,19,7.1,24,0,,2,2,0,,19.5,,1316.7,57,"Vegetarian, Contains Soy, Contains Wheat, Contains Gluten, Vegetarian, Contains Soy, Contains Wheat, ",$7.00
Overnight Oats with Berries ,112,22,2.4,6,22.7,,0.3,2,5.6,19,0,,7.3,6,0,,2.5,,15.4,1,"Vegan, Vegan, ",$3.50
Buddha Grain Garden Bowl ,619,351,38.9,102,55.3,,3.2,16,7.6,25,0,,8.9,7,0,,15.4,,2161.9,94,"Vegan, Contains Soy, Contains Wheat, Contains Gluten, Contains Sesame, Sustainability, Vegan, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, ",$8.00
Ceasar Salad ,422,284,31.4,83,25.3,,4.3,21,8.4,28,0,,6,5,0,,18.4,,603.8,26,"Vegan, Sustainability, Vegan, Sustainability, ",$7.00
Greek Salad ,544,420,46.6,123,29.3,,9.2,46,5.9,20,0,,10.1,8,0,,4.4,,1194,52,"Vegan, Contains Soy, Sustainability, Vegan, Contains Soy, Sustainability, ",$7.00
"Salad, Grilled Vegetable ",753,654,72.5,191,28,,7.8,39,5.9,20,0,,11.7,9,0,,5.2,,1608.4,70,"Vegan, Sustainability, Vegan, Sustainability, ",$8.50
Soba Noodle Salad ,684,543,60.2,158,35.2,,6,30,4,13,0,,7.8,6,0,,8.5,,685,30,"Vegan, Contains Wheat, Contains Gluten, Sustainability, Vegan, Contains Wheat, Sustainability, ",$7.00
Cuban Black Bean Potato Soup ,106,15,1.6,4,19.2,,0.2,1,1,3,0,,5,4,0,,4,,1128.4,49,"Vegan, Contains Soy, Vegan, Contains Soy, ",$4.00
Roots 3 Bean Chili Bowl ,209,38,4.2,11,33,,0.5,3,6.5,22,0,,7.7,6,0,,10.2,,716.4,31,"Vegan, Wellness, Contains Soy, Vegan, Wellness, Contains Soy, ",$4.00
Tomato basil Soup ,70,12,1.3,4,13.8,,0.1,1,0.8,3,0,,7.7,6,0,,1.9,,941.7,41,"Vegan, Contains Soy, Sustainability, Vegan, Contains Soy, Sustainability, ",$4.00
"Black Beans, Sausage & Rice ",220,89,9.9,26,25,,2.4,12,3,10,0,,2,2,0,,8,,488.2,21,"Vegetarian, Contains Soy, Sustainability, Vegetarian, Contains Soy, Sustainability, ",$4.50
Cheesy Fries ,430,222,24.7,65,44.8,,13,65,6.2,21,0,,9,7,0,,11.5,,756,33,"Vegan, Wellness, Contains TreeNuts, Contains Soy, Sustainability, Vegan, Wellness, Contains TreeNuts, Contains Soy, Sustainability, ",$6.75
Chili Cheese Fries ,429,203,22.5,59,49.9,,12.4,62,6.8,23,0,,10.7,8,0,,11.5,,843.3,37,"Vegan, Wellness, Contains TreeNuts, Contains Soy, Sustainability, Vegan, Wellness, Contains TreeNuts, Contains Soy, Sustainability, ",$6.75
Sweet Potato Waffle Fries ,242,128,14.2,37,32,,10.6,53,2,7,0,,8,6,0,,2,,350.3,15,"Vegan, Contains Soy, Sustainability, Vegan, Contains Soy, Sustainability, ",$3.75
Acai Smoothie ,270,27,3,8,62.5,,0.6,3,7.3,24,0,,39,30,0,,3.3,,72,3,"Vegan, Sustainability, Vegan, Sustainability, ",$6.50
Carrot Apple Ginger Juice ,299,15,1.6,4,71.4,,0.3,1,19.2,64,0,,38.3,29,0,,5.9,,418.7,18,"Vegan, Sustainability, Vegan, Sustainability, ",$5.00
Cucumber Mint Smoothie ,236,142,15.8,42,22.4,,13.6,68,1.8,6,0,,15.5,12,0,,2.7,,40.7,2,"Vegan, Sustainability, Vegan, Sustainability, ",$6.50
Green Garden Smoothie ,129,8,0.9,2,30.1,,0.2,1,5.8,19,0,,11.7,9,0,,4.7,,82.1,4,"Vegan, Sustainability, Vegan, Sustainability, ",$6.50
Island Flavor Smoothie ,419,222,24.6,65,54.3,,21.4,107,8.2,27,0,,28.6,22,0,,4.6,,20.5,1,"Vegan, Contains TreeNuts, Sustainability, Vegan, Contains TreeNuts, Sustainability, ",$6.50
Pure Orange Juice ,215,9,1,3,49.6,,0.1,1,1,3,0,,40.1,31,0,,3.3,,4.8,0,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",$5.00
Baja Fish-Less Tacos ,512,297,32.9,87,45.6,,1.8,9,5.2,17,0,,7.4,6,0,,11.6,,536.9,23,"Vegan, Contains Soy, Contains Wheat, Contains Gluten, Vegan, Contains Soy, Contains Wheat, ",$7.00
Green Chile Beyond Cheeseburger ,918,497,55.1,145,72.4,,11.2,56,6.4,21,0,,4.9,4,0,,31.5,,1468,64,"Vegan, Contains TreeNuts, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegan, Contains TreeNuts, Contains Soy, Contains Wheat, Sustainability, ",$11.50
Green Chile Black Bean Cheeseburger ,838,425,47.1,124,83.4,,6.2,31,6.4,21,0,,6.9,5,0,,16.5,,1458,63,"Vegan, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegan, Contains Soy, Contains Wheat, Sustainability, ",$9.00
Italian Sausage Sandwich ,820,382,42.3,111,65.4,,11.2,56,8.4,28,0,,10.9,8,1.1,,46.7,,2059.1,90,"Vegan, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegan, Contains Soy, Contains Wheat, Sustainability, ",$9.75
Root Beyond Burger ,664,335,37.1,98,62.6,,6.1,30,3.5,12,0,,3.5,3,0,,30,,1141.4,50,"Vegan, Contains TreeNuts, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegan, Contains TreeNuts, Contains Soy, Contains Wheat, Sustainability, ",$9.50
Root Black Bean Burger ,580,258,28.6,75,73.6,,1,5,3.5,12,0,,5.5,4,0,,15,,1127.6,49,"Vegan, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegan, Contains Soy, Contains Wheat, Sustainability, ",$7.00
Spicy Crispy Chickn Sandwich ,652,327,36.3,95,67.1,,4.4,22,2.8,9,0,,5.2,4,0,,23.3,,1265.3,55,"Vegan, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegan, Contains Soy, Contains Wheat, Sustainability, ",$7.50
Vegan Grilled Cheese ,453,146,16.2,43,58.3,,6.6,33,4.4,15,0,,1.1,1,0,,15.9,,1245.2,54,"Vegan, Contains Wheat, Contains Gluten, Sustainability, Vegan, Contains Wheat, Sustainability, ",$7.00
Enchilada Pie ,681,136,15.1,40,119.5,,1.8,9,6.5,22,0,,3.2,2,0,,18.9,,783.5,34,"Vegan, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegan, Contains Soy, Contains Wheat, Sustainability, ",$8.00
