Food,Calories,Calories from Fat,Tot. Fat,%DV,Tot. Carb,%DV,Sat. Fat,%DV,Dietary Fiber,%DV,Trans Fat,%DV,Sugars,%DV,Cholesterol,%DV,Protein,%DV,Sodium,%DV,Allergens
Chicken Club Sandwich ,744,384,Total Fat 42.6g,112,Tot. Carb. 44.4g,,Sat. Fat 17g,85%,Dietary Fiber 0.5g,2,Trans Fat 0g,,Sugars 8.1g,6,Cholesterol 131.3mg,,Protein 43g,,Sodium 2325mg,101,"Milk, Eggs, Wheat, Soybeans, Gluten"
City Slicker Sandwich ,660,370,Total Fat 41.1g,108,Tot. Carb. 36.5g,,Sat. Fat 13.1g,66%,Dietary Fiber 2.9g,10,Trans Fat 0g,,Sugars 4.5g,3,Cholesterol 100.5mg,,Protein 34.7g,,Sodium 1353.5mg,59,"Milk, Eggs, Wheat, Soybeans, Gluten"
Italian Flatbread Sandwich ,715,276,Total Fat 30.6g,80,Tot. Carb. 112.8g,,Sat. Fat 11.5g,57%,Dietary Fiber 3.7g,12,Trans Fat 0g,,Sugars 6.8g,5,Cholesterol 96.8mg,,Protein 42.9g,,Sodium 2191.8mg,95,"Milk, Wheat, Soybeans, Gluten"
Pesto Turkey Sandwich ,552,226,Total Fat 25g,66,Tot. Carb. 49g,,Sat. Fat 6.1g,31%,Dietary Fiber 1.8g,6,Trans Fat 0g,,Sugars 8g,6,Cholesterol 57.4mg,,Protein 33.6g,,Sodium 1545.8mg,67,"Milk, Wheat, Soybeans, Gluten"
Roasted Vegetable Sandwich ,435,129,Total Fat 14.3g,38,Tot. Carb. 109.3g,,Sat. Fat 2.7g,13%,Dietary Fiber 8.5g,28,Trans Fat 0g,,Sugars 10.6g,8,Cholesterol 0mg,,Protein 13.8g,,Sodium 1022.3mg,44,"Wheat, Soybeans, Gluten"
Santa Fe Chicken Sandwich ,772,505,Total Fat 56g,147,Tot. Carb. 40.5g,,Sat. Fat 11g,55%,Dietary Fiber 2.5g,8,Trans Fat 0g,,Sugars 5.3g,4,Cholesterol 85.8mg,,Protein 34.1g,,Sodium 1774.7mg,77,"Milk, Wheat, Soybeans, Gluten"
Toasted Cheese Sandwich ,458,198,Total Fat 22g,58,Tot. Carb. 43.4g,,Sat. Fat 12.9g,65%,Dietary Fiber 0.7g,2,Trans Fat 0g,,Sugars 6.9g,5,Cholesterol 56.3mg,,Protein 22.4g,,Sodium 973.8mg,42,"Milk, Wheat, Soybeans, Gluten"
Turkey Melt ,592,266,Total Fat 29.4g,77,Tot. Carb. 44.5g,,Sat. Fat 11g,55%,Dietary Fiber 0.6g,2,Trans Fat 0g,,Sugars 6.9g,5,Cholesterol 73.6mg,,Protein 37g,,Sodium 1480.4mg,64,"Milk, Eggs, Wheat, Soybeans, Gluten"
Avocado Toast ,232,106,Total Fat 11.8g,31,Tot. Carb. 26.9g,,Sat. Fat 2.3g,11%,Dietary Fiber 6.2g,21,Trans Fat 0g,,Sugars 6.8g,5,Cholesterol 4mg,,Protein 6.5g,,Sodium 193.8mg,8,"Milk, Wheat, Soybeans, Gluten"
Bacon ,186,133,Total Fat 14.7g,39,Tot. Carb. 0.5g,,Sat. Fat 4.8g,24%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 0g,0,Cholesterol 36.4mg,,Protein 12.1g,,Sodium 745.6mg,32,
