Food,Calories,Calories from Fat,Tot. Fat,%DV,Tot. Carb,%DV,Sat. Fat,%DV,Dietary Fiber,%DV,Trans Fat,%DV,Sugars,%DV,Cholesterol,%DV,Protein,%DV,Sodium,%DV,Allergens
AGUA FRESCA HIBISCUS ,158,0,Total Fat 0g,0,Tot. Carb. 38.2g,,Sat. Fat 0g,0%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 38.2g,29,Cholesterol 0mg,,Protein 0g,,Sodium 541.7mg,24,
AGUA FRESCA LEMONADE ,158,0,Total Fat 0g,0,Tot. Carb. 36.8g,,Sat. Fat 0g,0%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 36.8g,28,Cholesterol 0mg,,Protein 0g,,Sodium 541.7mg,24,
AGUA FRESCA MANGO ,118,0,Total Fat 0g,0,Tot. Carb. 28.9g,,Sat. Fat 0g,0%,Dietary Fiber 1.3g,4,Trans Fat 0g,,Sugars 27.6g,21,Cholesterol 0mg,,Protein 0g,,Sodium 541.7mg,24,
Avocado Toast ,494,244,Total Fat 27.1g,71,Tot. Carb. 51.5g,,Sat. Fat 6.1g,31%,Dietary Fiber 6.1g,20,Trans Fat 0g,,Sugars 7.3g,6,Cholesterol 6.6mg,,Protein 17.9g,,Sodium 810.1mg,35,"Milk, Wheat, Gluten"
Ham Bobcat Sandwich ,465,205,Total Fat 22.7g,60,Tot. Carb. 32.9g,,Sat. Fat 11.1g,55%,Dietary Fiber 2.7g,9,Trans Fat 0g,,Sugars 5.2g,4,Cholesterol 238.9mg,,Protein 28.1g,,Sodium 1288.6mg,56,"Milk, Eggs, Wheat, Soybeans, Gluten"
Crispy Chicken Sandwich ,749,500,Total Fat 55.4g,146,Tot. Carb. 52.8g,,Sat. Fat 14.7g,74%,Dietary Fiber 0.6g,2,Trans Fat 0.1g,,Sugars 9.4g,7,Cholesterol 80.8mg,,Protein 10g,,Sodium 894.8mg,39,"Milk, Eggs, Wheat, Soybeans, Gluten"
Fish and Chips ,620,475,Total Fat 52.7g,139,Tot. Carb. 43.1g,,Sat. Fat 5.5g,27%,Dietary Fiber 0.5g,2,Trans Fat 0.1g,,Sugars 1.9g,1,Cholesterol 43.1mg,,Protein 17g,,Sodium 1265.6mg,55,"Fish, Wheat, Soybeans, Gluten"
Grilled Fish Sandwich ,306,185,Total Fat 20.5g,54,Tot. Carb. 5.6g,,Sat. Fat 1.4g,7%,Dietary Fiber 1.7g,6,Trans Fat 0g,,Sugars 3.1g,2,Cholesterol 91.9mg,,Protein 24.5g,,Sodium 405mg,18,"Milk, Fish, Wheat, Soybeans, Gluten"
Mediterranean Burger ,546,163,Total Fat 18g,47,Tot. Carb. 57.9g,,Sat. Fat 8.3g,41%,Dietary Fiber 1.2g,4,Trans Fat 0g,,Sugars 12g,9,Cholesterol 140.2mg,,Protein 39.3g,,Sodium 986.6mg,43,"Milk, Eggs, Wheat, Gluten"
Three Cheese Grilled Cheese ,831,422,Total Fat 46.8g,123,Tot. Carb. 49.6g,,Sat. Fat 17.3g,87%,Dietary Fiber 0.1g,0,Trans Fat 0g,,Sugars 6.2g,5,Cholesterol 85.8mg,,Protein 28g,,Sodium 1547mg,67,"Milk, Eggs, Wheat, Soybeans, Gluten"
