Food,Calories,Calories from Fat,Tot. Fat,%DV,Tot. Carb,%DV,Sat. Fat,%DV,Dietary Fiber,%DV,Trans Fat,%DV,Sugars,%DV,Cholesterol,%DV,Protein,%DV,Sodium,%DV,Allergens
Chicken Potstickers ,299,78,Total Fat 8.6g,23,Tot. Carb. 38.6g,,Sat. Fat 0.5g,2%,Dietary Fiber 1g,3,Trans Fat 0g,,Sugars 3.8g,3,Cholesterol 28mg,,Protein 16.9g,,Sodium 1776.3mg,77,"Wheat, Soybeans, Gluten, Sesame"
Short Rib Bowl ,518,294,Total Fat 32.6g,86,Tot. Carb. 34g,,Sat. Fat 14g,70%,Dietary Fiber 2.3g,8,Trans Fat 0g,,Sugars 5.9g,5,Cholesterol 60.8mg,,Protein 18.2g,,Sodium 1570.8mg,68,"Wheat, Soybeans, Gluten, Sesame"
Steamed Edamame ,227,61,Total Fat 6.8g,18,Tot. Carb. 20.4g,,Sat. Fat 0g,0%,Dietary Fiber 9.1g,30,Trans Fat 0g,,Sugars 2.3g,2,Cholesterol 0mg,,Protein 18.1g,,Sodium 249.5mg,11,Sesame
Chicken Donburi Bowl ,744,277,Total Fat 30.7g,81,Tot. Carb. 69.4g,,Sat. Fat 5.6g,28%,Dietary Fiber 6.1g,20,Trans Fat 0g,,Sugars 26.3g,20,Cholesterol 299.6mg,,Protein 49.7g,,Sodium 2605.7mg,113,"Eggs, Soybeans, Sesame"
Sauteed Salmon ,936,707,Total Fat 78.3g,206,Tot. Carb. 33.7g,,Sat. Fat 9.3g,47%,Dietary Fiber 5.7g,19,Trans Fat 0g,,Sugars 4g,3,Cholesterol 62.4mg,,Protein 29.5g,,Sodium 638.8mg,28,"Fish, Soybeans, Sesame"
Short Rib Donburi Bowl ,859,449,Total Fat 49.8g,131,Tot. Carb. 71.9g,,Sat. Fat 16.3g,81%,Dietary Fiber 6.1g,20,Trans Fat 0g,,Sugars 28g,22,Cholesterol 254.9mg,,Protein 31.9g,,Sodium 2995.1mg,130,"Eggs, Wheat, Soybeans, Gluten, Sesame"
Spicy Curry Seared Tofu ,620,397,Total Fat 44g,116,Tot. Carb. 42.7g,,Sat. Fat 13.4g,67%,Dietary Fiber 5.5g,18,Trans Fat 0g,,Sugars 6.9g,5,Cholesterol 0mg,,Protein 18.9g,,Sodium 1227.3mg,53,"Soybeans, Sesame"
Tofu Donburi Bowl ,628,221,Total Fat 24.5g,64,Tot. Carb. 76.2g,,Sat. Fat 3.7g,18%,Dietary Fiber 7.8g,26,Trans Fat 0g,,Sugars 30.8g,24,Cholesterol 194.1mg,,Protein 30g,,Sodium 2758.8mg,120,"Eggs, Soybeans, Sesame"
California Roll ,360,49,Total Fat 5.4g,14,Tot. Carb. 67.4g,,Sat. Fat 0.6g,3%,Dietary Fiber 2.6g,9,Trans Fat 0g,,Sugars 11.4g,9,Cholesterol 9.8mg,,Protein 11.7g,,Sodium 787.3mg,34,"Eggs, Fish, Crustacean Shellfish, Soybeans, Sesame"
Crunchy Roll ,543,179,Total Fat 19.8g,52,Tot. Carb. 70.7g,,Sat. Fat 5.8g,29%,Dietary Fiber 3.1g,10,Trans Fat 0.1g,,Sugars 6.4g,5,Cholesterol 78.8mg,,Protein 15.7g,,Sodium 902.3mg,39,"Milk, Eggs, Crustacean Shellfish, Wheat, Soybeans, Gluten"
Horizon Roll ,384,82,Total Fat 9.1g,24,Tot. Carb. 65.4g,,Sat. Fat 1.1g,6%,Dietary Fiber 5.4g,18,Trans Fat 0g,,Sugars 6.4g,5,Cholesterol 0mg,,Protein 10.3g,,Sodium 205.7mg,9,"Wheat, Soybeans, Gluten, Sesame"
Rainbow Roll ,403,66,Total Fat 7.3g,19,Tot. Carb. 60.5g,,Sat. Fat 1.3g,7%,Dietary Fiber 2.2g,7,Trans Fat 0g,,Sugars 8.7g,7,Cholesterol 38.3mg,,Protein 23.2g,,Sodium 619.2mg,27,"Eggs, Fish, Crustacean Shellfish, Soybeans"
Spicy Tuna Roll ,391,88,Total Fat 9.8g,26,Tot. Carb. 52.6g,,Sat. Fat 1.6g,8%,Dietary Fiber 2.6g,9,Trans Fat 0g,,Sugars 3.7g,3,Cholesterol 20.3mg,,Protein 18.8g,,Sodium 765.5mg,33,"Eggs, Fish, Wheat, Soybeans, Gluten, Sesame"
Sun God Roll ,723,342,Total Fat 37.9g,100,Tot. Carb. 56.6g,,Sat. Fat 6.2g,31%,Dietary Fiber 2.6g,9,Trans Fat 0.1g,,Sugars 1.2g,1,Cholesterol 115.8mg,,Protein 35.6g,,Sodium 810mg,35,"Eggs, Fish, Crustacean Shellfish, Wheat, Soybeans, Gluten, Sesame"
AGUA FRESCA HIBISCUS ,158,0,Total Fat 0g,0,Tot. Carb. 38.2g,,Sat. Fat 0g,0%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 38.2g,29,Cholesterol 0mg,,Protein 0g,,Sodium 541.7mg,24,
AGUA FRESCA LEMONADE ,158,0,Total Fat 0g,0,Tot. Carb. 36.8g,,Sat. Fat 0g,0%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 36.8g,28,Cholesterol 0mg,,Protein 0g,,Sodium 541.7mg,24,
AGUA FRESCA MANGO ,118,0,Total Fat 0g,0,Tot. Carb. 28.9g,,Sat. Fat 0g,0%,Dietary Fiber 1.3g,4,Trans Fat 0g,,Sugars 27.6g,21,Cholesterol 0mg,,Protein 0g,,Sodium 541.7mg,24,
Thai Iced Tea ,406,139,Total Fat 15.5g,41,Tot. Carb. 52.1g,,Sat. Fat 8.8g,44%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 52.1g,40,Cholesterol 47.3mg,,Protein 14.9g,,Sodium 205.7mg,9,Milk
